EngineID,Cycle,OpSetting1,OpSetting2,OpSetting3,T2,T24,T30,T50,P2,P15,P30,Nf,Nc,epr,Ps30,phi,NRf,NRc,BPR,farB,htBleed,Nf_dmd,PCNfR_dmd,W31,W32
-1.728,-1.565,-0.316,-1.373,0.000,0.000,-1.722,-0.134,-0.926,-1.000,0.142,1.121,-0.516,-0.863,0.000,-0.266,0.334,-1.059,-0.269,-0.604,-1.000,-0.782,0.000,0.000,1.348,1.194
-1.728,-1.551,0.873,-1.032,0.000,0.000,-1.062,0.212,-0.644,-1.000,0.142,0.432,-0.798,-0.959,0.000,-0.192,1.175,-0.364,-0.643,-0.276,-1.000,-0.782,0.000,0.000,1.017,1.237
-1.728,-1.536,-1.962,1.016,0.000,0.000,-0.662,-0.413,-0.526,-1.000,0.142,1.008,-0.235,-0.557,0.000,-1.015,1.365,-0.920,-0.552,-0.649,-1.000,-2.073,0.000,0.000,0.740,0.503
-1.728,-1.522,0.324,-0.008,0.000,0.000,-0.662,-1.261,-0.785,-1.000,0.142,1.223,0.188,-0.714,0.000,-1.539,1.961,-0.225,-0.520,-1.972,-1.000,-0.782,0.000,0.000,0.353,0.778
-1.728,-1.507,-0.865,-0.690,0.000,0.000,-0.622,-1.252,-0.302,-1.000,0.142,0.714,-0.516,-0.457,0.000,-0.978,1.053,-0.781,-0.522,-0.340,-1.000,-0.136,0.000,0.000,0.463,1.060
-1.728,-1.493,-1.962,-0.349,0.000,0.000,-1.162,-0.987,-1.174,-1.000,0.142,1.471,-1.080,-0.705,0.000,-1.427,0.361,-0.920,-0.572,-0.836,-1.000,-1.427,0.000,0.000,0.906,0.713
-1.728,-1.478,0.461,0.333,0.000,0.000,-0.402,0.293,-1.240,-1.000,0.142,1.099,-1.080,-0.277,0.000,-0.678,1.229,-0.920,-0.599,-1.193,-1.000,-0.782,0.000,0.000,1.570,0.810
-1.728,-1.464,-1.550,1.016,0.000,0.000,-0.242,-1.234,-0.885,-1.000,0.142,0.545,-1.362,-1.107,0.000,-1.128,1.433,-0.920,-0.665,-0.921,-1.000,-1.427,0.000,0.000,0.851,0.193
-1.728,-1.449,0.370,0.333,0.000,0.000,-1.122,0.075,-1.570,-1.000,0.142,0.364,-0.657,-0.851,0.000,-0.940,0.511,-0.642,-0.947,-1.849,-1.000,-0.782,0.000,0.000,1.293,1.080
-1.728,-1.435,-1.505,0.333,0.000,0.000,-1.942,0.117,-0.941,-1.000,0.142,0.251,-0.657,-0.613,0.000,-1.914,0.511,-0.503,-0.753,-0.361,-1.000,-0.136,0.000,0.000,0.740,1.660
-1.728,-1.420,0.827,-1.032,0.000,0.000,-0.802,-1.431,-0.921,-1.000,0.142,1.325,-0.657,-0.708,0.000,-1.465,-0.018,-1.198,-0.166,-0.217,-1.000,-0.782,0.000,0.000,0.685,1.746
-1.728,-1.405,0.736,0.674,0.000,0.000,-1.242,-1.160,-0.976,-1.000,0.142,1.302,-0.094,-0.719,0.000,-1.352,0.524,-1.059,-0.498,-1.289,-1.000,-1.427,0.000,0.000,1.348,0.705
-1.728,-1.391,-0.865,1.357,0.000,0.000,0.778,-1.359,-0.900,-1.000,0.142,0.082,0.329,-0.834,0.000,-0.603,0.592,-0.225,-0.821,-0.718,-1.000,-0.136,0.000,0.000,0.629,-0.129
-1.728,-1.376,0.416,-0.008,0.000,0.000,-0.662,0.396,-1.086,-1.000,0.142,1.257,-0.094,-0.809,0.000,-0.379,0.348,-1.337,-0.489,-1.220,-1.000,-0.136,0.000,0.000,2.012,0.858
-1.728,-1.362,-0.819,-1.032,0.000,0.000,-0.502,-1.093,-0.756,-1.000,0.142,0.308,0.188,-0.590,0.000,-0.903,1.473,-0.225,-0.849,-0.593,-1.000,-1.427,0.000,0.000,0.961,0.557
-1.728,-1.347,0.278,1.698,0.000,0.000,-1.102,-0.415,-0.493,-1.000,0.142,0.647,-0.657,-0.720,0.000,-1.128,0.104,-0.364,-0.401,-1.294,-1.000,-0.782,0.000,0.000,0.851,1.527
-1.728,-1.333,0.095,0.674,0.000,0.000,-0.202,-0.907,-0.998,-1.000,0.142,0.488,-0.516,-0.467,0.000,-1.577,0.646,-0.781,-0.340,0.321,-1.000,-0.782,0.000,0.000,-0.035,0.390
-1.728,-1.318,-1.413,-0.349,0.000,0.000,-0.122,0.084,-1.424,-1.000,0.142,0.940,-0.657,-0.711,0.000,-1.240,0.470,-0.364,-0.578,-1.049,-1.000,-0.782,0.000,0.000,0.408,1.007
-1.728,-1.304,1.467,-1.032,0.000,0.000,-1.782,-0.483,-0.954,-1.000,0.142,0.918,-0.798,-0.510,0.000,-0.529,0.646,-0.920,-0.767,-0.268,-1.000,-1.427,0.000,0.000,-0.090,0.524
-1.728,-1.289,-1.688,0.333,0.000,0.000,0.718,-1.535,-0.412,-1.000,0.142,1.630,-0.657,-0.876,0.000,-1.203,0.890,-1.059,-0.736,-0.564,-1.000,-0.782,0.000,0.000,1.183,1.222
