EngineID,Cycle,OpSetting1,OpSetting2,OpSetting3,T2,T24,T30,T50,P2,P15,P30,Nf,Nc,epr,Ps30,phi,NRf,NRc,BPR,farB,htBleed,Nf_dmd,PCNfR_dmd,W31,W32,RUL
-1.728,-1.565,-0.316,-1.373,0.000,0.000,-1.722,-0.134,-0.926,-1.000,0.142,1.121,-0.516,-0.863,0.000,-0.266,0.334,-1.059,-0.269,-0.604,-1.000,-0.782,0.000,0.000,1.348,1.194,191.000
-1.728,-1.551,0.873,-1.032,0.000,0.000,-1.062,0.212,-0.644,-1.000,0.142,0.432,-0.798,-0.959,0.000,-0.192,1.175,-0.364,-0.643,-0.276,-1.000,-0.782,0.000,0.000,1.017,1.237,190.000
-1.728,-1.536,-1.962,1.016,0.000,0.000,-0.662,-0.413,-0.526,-1.000,0.142,1.008,-0.235,-0.557,0.000,-1.015,1.365,-0.920,-0.552,-0.649,-1.000,-2.073,0.000,0.000,0.740,0.503,189.000
-1.728,-1.522,0.324,-0.008,0.000,0.000,-0.662,-1.261,-0.785,-1.000,0.142,1.223,0.188,-0.714,0.000,-1.539,1.961,-0.225,-0.520,-1.972,-1.000,-0.782,0.000,0.000,0.353,0.778,188.000
-1.728,-1.507,-0.865,-0.690,0.000,0.000,-0.622,-1.252,-0.302,-1.000,0.142,0.714,-0.516,-0.457,0.000,-0.978,1.053,-0.781,-0.522,-0.340,-1.000,-0.136,0.000,0.000,0.463,1.060,187.000
-1.728,-1.493,-1.962,-0.349,0.000,0.000,-1.162,-0.987,-1.174,-1.000,0.142,1.471,-1.080,-0.705,0.000,-1.427,0.361,-0.920,-0.572,-0.836,-1.000,-1.427,0.000,0.000,0.906,0.713,186.000
-1.728,-1.478,0.461,0.333,0.000,0.000,-0.402,0.293,-1.240,-1.000,0.142,1.099,-1.080,-0.277,0.000,-0.678,1.229,-0.920,-0.599,-1.193,-1.000,-0.782,0.000,0.000,1.570,0.810,185.000
-1.728,-1.464,-1.550,1.016,0.000,0.000,-0.242,-1.234,-0.885,-1.000,0.142,0.545,-1.362,-1.107,0.000,-1.128,1.433,-0.920,-0.665,-0.921,-1.000,-1.427,0.000,0.000,0.851,0.193,184.000
-1.728,-1.449,0.370,0.333,0.000,0.000,-1.122,0.075,-1.570,-1.000,0.142,0.364,-0.657,-0.851,0.000,-0.940,0.511,-0.642,-0.947,-1.849,-1.000,-0.782,0.000,0.000,1.293,1.080,183.000
-1.728,-1.435,-1.505,0.333,0.000,0.000,-1.942,0.117,-0.941,-1.000,0.142,0.251,-0.657,-0.613,0.000,-1.914,0.511,-0.503,-0.753,-0.361,-1.000,-0.136,0.000,0.000,0.740,1.660,182.000
